Titolo,Autori,n,m_age,sd_age,m_education,sd_education,female_perc,m_RAVLT_t1,sd_RAVLT_t1,m_RAVLT_t2,sd_RAVLT_t2
Accelerated long-term forgetting in focal epilepsies with special consideration given to patients with diagnosed and suspected limbic encephalitis,Helmstaedter et al.2019,154,43.00,13.00,,,58.00,11.50,3.00,7.80,3.90
Memory compromise at extended delays in people with new-onset epilepsy,Pugh et al.2024,35,45.21,,,,48.60,8.49,2.95,5.03,2.72
Accelerated long-term forgetting in patients with acquired brain injury,Studer et al.2024a,54,38.79,14.24,13.41,1.94,53.70,12.13,2.47,9.35,3.35
Accelerated long-term forgetting in resected and seizure-free temporal lobe epilepsy patients,Visser et al.2019,18,,,9.22,2.90,,8.06,2.41,5.39,2.12
Forgetting is comparable between healthy young and olde people,Studer et al.2024b (1),88,23.91,3.10,13.85,2.13,48.00,12.99,2.08,10.44,3.44
Forgetting is comparable between healthy young and olde people,Studer et al.2024b (2),103,47.54,9.76,14.52,2.88,62.00,11.65,2.72,8.75,3.40
Forgetting is comparable between healthy young and olde people,Studer et al.2024b (3),45,66.07,3.76,14.53,2.55,53.00,9.29,3.26,6.20,3.68
Improving Amnesia Diagnostic Accuracy with RAVLT Single Scores and Composite Indices: Italian Normative Data,Ricci et al.2022,440,44.43,17.68,13.73,3.83,58.00,11.01,3.10,8.30,3.45
Validation and Normative Data of the Spanish Version of the Rey Auditory Verbal Learning Test and Associated Long-Term Forgetting Measures in Middle-Aged Adults,Alviarez-Schulze et al.2022,267,56.75,6.92,17.19,3.68,53.38,11.55,2.59,6.71,3.19
Ecological Validity of List-Learning Tests and Self-ReportedMemory in Healthy Individuals and Those with TemporalLobe Epilepsy,Helmstaedter et al.1998,21,29.40,,,,47.60,10.90,2.84,7.86,3.76
Subjective memory ability and long-term forgetting in patients referred for neuropsychological assessments,van der Werf et al.2016,41,52.60,10.10,5.40,1.70,48.8,10.60,2.40,5.90,2.10
Understanding memory dynamics in stroke patients: Learning and forgetting patterns based on verbal recall,"Lugtmeijer et al., 2026",160,57.25,16.27,5.79,0.95,40.62,10.11,3.25,6.54,3.73
Old dogs with new tricks: Detecting accelerated long-term forgetting by extending traditional measures,Miller et al. 2015,60,39.02,13.30,15.40,1.93,53.30,11.43,2.82,7.37,3.39
Accelerated long-term forgetting reveals everyday memory deficits in early-stage multiple sclerosis,"Stalter et al., 2024",30,29.30,6.38,12.03,1.24,76.70,11.87,2.05,9.73,2.15
